cancer_type,true_K,extracted_K,n_matched,median_cosine,mean_cosine,min_cosine,n_above_0.9,n_above_0.95,exposure_rmse,true_sigs,matched_sigs,missed_sigs,extra_sigs
Breast-AdenoCA,13,16,10,0.923,0.9082,0.783,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS37 SBS40 SBS41 SBS5 SBS8 SBS9,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS41 SBS5 SBS8,SBS37 SBS40 SBS9,SBS6 SBS7a SBS92
Breast-AdenoCA_hypermutator,10,8,5,0.9078,0.9158,0.8447,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS40 SBS41 SBS5,SBS13 SBS17b SBS2 SBS3 SBS5,SBS1 SBS17a SBS18 SBS40 SBS41,
ColoRect-AdenoCA,12,18,11,0.93,0.9089,0.751,,,,SBS1 SBS10a SBS10b SBS15 SBS17a SBS17b SBS18 SBS28 SBS37 SBS40 SBS44 SBS5,SBS1 SBS10a SBS10b SBS15 SBS17a SBS17b SBS18 SBS28 SBS37 SBS44 SBS5,SBS40,SBS38 SBS40a SBS52 SBS58 SBS87
ColoRect-AdenoCA_hypermutator,6,5,5,0.9504,0.9356,0.8478,,,,SBS1 SBS10a SBS10b SBS28 SBS37 SBS5,SBS10a SBS10b SBS28 SBS37 SBS5,SBS1,
Eso-AdenoCA,10,16,9,0.942,0.8748,0.473,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS5,SBS40,SBS40a SBS54
Eso-AdenoCA_hypermutator,10,3,3,0.9743,0.9669,0.9302,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,SBS17a SBS17b SBS5,SBS1 SBS13 SBS18 SBS2 SBS28 SBS3 SBS40,
Kidney-RCC,12,18,12,0.8952,0.8727,0.6452,,,,SBS1 SBS12 SBS13 SBS18 SBS2 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS5,SBS1 SBS12 SBS13 SBS18 SBS2 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS5,,SBS51 SBS7a SBS7c
Kidney-RCC_hypermutator,13,8,5,0.906,0.9076,0.8416,,,,SBS1 SBS12 SBS13 SBS18 SBS21 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS44 SBS5,SBS12 SBS22a SBS22b SBS4 SBS40a,SBS1 SBS13 SBS18 SBS21 SBS40b SBS40c SBS44 SBS5,SBS27 SBS6
Liver-HCC,20,17,9,0.9016,0.8521,0.6346,,,,SBS1 SBS12 SBS14 SBS16 SBS17a SBS17b SBS18 SBS19 SBS22a SBS24 SBS26 SBS29 SBS30 SBS31 SBS35 SBS4 SBS40 SBS5 SBS6 SBS9,SBS1 SBS12 SBS16 SBS19 SBS22a SBS29 SBS30 SBS35 SBS4,SBS14 SBS17a SBS17b SBS18 SBS24 SBS26 SBS31 SBS40 SBS5 SBS6 SBS9,SBS32 SBS40a SBS40b SBS40c SBS42 SBS54 SBS88
Liver-HCC_hypermutator,13,9,6,0.9274,0.9213,0.8177,,,,SBS1 SBS12 SBS14 SBS16 SBS19 SBS22a SBS26 SBS29 SBS35 SBS4 SBS40 SBS5 SBS6,SBS12 SBS19 SBS22a SBS35 SBS5 SBS6,SBS1 SBS14 SBS16 SBS26 SBS29 SBS4 SBS40,SBS40a SBS40b
Lung-AdenoCA,12,8,8,0.9948,0.9936,0.9815,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5 SBS9,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS4 SBS5,SBS28 SBS3 SBS40 SBS9,
Lung-AdenoCA_hypermutator,11,9,4,0.8851,0.8604,0.7438,,,,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5,SBS13 SBS2 SBS4 SBS5,SBS1 SBS17a SBS17b SBS18 SBS28 SBS3 SBS40,SBS45 SBS95
Ovary-AdenoCA,11,20,8,0.8206,0.824,0.667,,,,SBS1 SBS13 SBS18 SBS2 SBS3 SBS35 SBS39 SBS40 SBS41 SBS5 SBS8,SBS1 SBS13 SBS18 SBS2 SBS3 SBS39 SBS5 SBS8,SBS35 SBS40 SBS41,SBS15 SBS19 SBS40b SBS53 SBS87 SBS92 SBS94
Ovary-AdenoCA_hypermutator,9,9,4,0.8852,0.8906,0.7827,,,,SBS1 SBS13 SBS18 SBS2 SBS26 SBS3 SBS40 SBS41 SBS5,SBS26 SBS3 SBS41 SBS5,SBS1 SBS13 SBS18 SBS2 SBS40,SBS40a
Skin-Melanoma,12,13,8,0.9064,0.8976,0.7573,,,,SBS1 SBS13 SBS17a SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,SBS1 SBS2 SBS38 SBS5 SBS7a SBS7b SBS7c SBS7d,SBS13 SBS17a SBS17b SBS40,SBS10b SBS11 SBS19 SBS58 SBS97
Skin-Melanoma_hypermutator,11,2,1,0.9295,0.9295,0.9002,,,,SBS1 SBS13 SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,SBS7a,SBS1 SBS13 SBS17b SBS2 SBS38 SBS40 SBS5 SBS7b SBS7c SBS7d,
Stomach-AdenoCA,16,11,11,0.993,0.976,0.8545,,,,SBS1 SBS13 SBS15 SBS17a SBS17b SBS18 SBS2 SBS20 SBS21 SBS26 SBS28 SBS3 SBS40 SBS41 SBS44 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS41 SBS44 SBS5,SBS15 SBS20 SBS21 SBS26 SBS40,
Stomach-AdenoCA_hypermutator,9,8,7,0.936,0.8844,0.714,,,,SBS1 SBS15 SBS17a SBS17b SBS20 SBS21 SBS26 SBS44 SBS5,SBS1 SBS15 SBS17b SBS20 SBS21 SBS44 SBS5,SBS17a SBS26,SBS6
